"","Year Built","House Age","Sq Ft","Sales Price","# of Bedrooms","Bathrooms"
"1","1960",60,1029,193000,2,2
"2","1950",70,2064,837500,4,3
"3","1964",56,3042,550000,4,3
"4","1965",55,5142,1810000,4,5
"5","1959",61,2582,440000,3,2
"6","1950",70,2325,833000,3,3
"7","1955",65,4776,2200000,5,7
"8","1985",35,3442,480000,4,4
"9","1950",70,3100,992500,3,3
"10","1958",62,1871,660000,3,2
"11","1971",49,3856,730000,4,4
"12","1930",90,8115,2950000,5,5
"13","1940",80,2830,1080000,3,4
"14","1985",35,4102,1200000,4,5
"15","1950",70,2743,440000,4,3
"16","1955",65,1565,488000,3,1
"17","2020",0,4500,1715000,4,5
"18","1984",36,2643,282500,3,2
"19","2005",15,4651,1350000,5,5
"20","1967",53,4579,850000,5,4.5
"21","1970",50,3902,820000,4,4
"22","1973",47,2668,385000,4,2
"23","1948",72,675,184242,1,1
"24","1948",72,2232,860000,3,2
"25","1948",72,2232,860000,3,2
"26","2005",15,5081,1825000,5,6
"27","1970",50,1224,210000,2,3
"28","1970",50,3609,660000,4,4
"29","1948",72,2122,681700,3,3
"30","1964",56,3042,550000,4,3
"31","1950",70,3554,886000,5,5
"32","1947",73,2331,836500,3,3
"33","1952",68,2959,705000,3,3
"34","1951",69,2744,823000,4,3
"35","1978",42,4039,402000,3,3
"36","1978",42,1611,250000,3,2.5
"37","1960",60,3542,397000,4,3
"38","1955",65,4602,1600000,4,5
"39","1950",70,3750,876000,4,4
"40","1928",92,3795,1240000,3,2.5
"41",NA,NA,NA,NA,NA,NA
"42","Mean",57.6,3216.775,878323.55,3.6,3.4125
"43","SD",19.2710757088015,1383.2270423329,588225.638400163,0.900142438870877,1.33918986225982
