Zip Code,Year,Number of Fires
35020,2015,37
35022,2015,1
35023,2015,12
35061,2015,53
35064,2015,13
35068,2015,1
35094,2015,1
35111,2015,1
35116,2015,0
35118,2015,3
35126,2015,0
35127,2015,0
35130,2015,1
35203,2015,261
35204,2015,766
35205,2015,439
35206,2015,651
35207,2015,315
35208,2015,521
35209,2015,136
35210,2015,130
35211,2015,968
35212,2015,545
35213,2015,45
35214,2015,213
35215,2015,447
35217,2015,172
35218,2015,345
35221,2015,129
35222,2015,159
35223,2015,23
35224,2015,211
35226,2015,9
35228,2015,128
35232,2015,11
35233,2015,86
35234,2015,356
35235,2015,176
35242,2015,46
35243,2015,78
35294,2015,51
35020,2016,85
35022,2016,20
35023,2016,10
35061,2016,101
35064,2016,12
35068,2016,8
35094,2016,11
35111,2016,1
35116,2016,1
35118,2016,0
35126,2016,1
35127,2016,3
35130,2016,0
35203,2016,333
35204,2016,721
35205,2016,382
35206,2016,890
35207,2016,360
35208,2016,928
35209,2016,219
35210,2016,176
35211,2016,1250
35212,2016,822
35213,2016,58
35214,2016,272
35215,2016,514
35217,2016,259
35218,2016,613
35221,2016,127
35222,2016,190
35223,2016,6
35224,2016,453
35226,2016,1
35228,2016,150
35232,2016,0
35233,2016,69
35234,2016,437
35235,2016,162
35242,2016,76
35243,2016,100
35294,2016,61
35020,2017,24
35022,2017,6
35023,2017,1
35061,2017,13
35064,2017,23
35068,2017,4
35094,2017,3
35111,2017,0
35116,2017,0
35118,2017,0
35126,2017,0
35127,2017,0
35130,2017,0
35203,2017,160
35204,2017,163
35205,2017,164
35206,2017,217
35207,2017,144
35208,2017,422
35209,2017,116
35210,2017,35
35211,2017,387
35212,2017,259
35213,2017,4
35214,2017,111
35215,2017,175
35217,2017,112
35218,2017,263
35221,2017,56
35222,2017,135
35223,2017,0
35224,2017,109
35226,2017,0
35228,2017,8
35232,2017,0
35233,2017,23
35234,2017,141
35235,2017,69
35242,2017,48
35243,2017,0
35294,2017,12
